date,Value
2006/4/13,14099
2006/4/14,14096
2006/4/17,14096
2006/4/18,14101
2006/4/19,14102
2006/4/20,14102
2006/4/21,14103
2006/4/24,14103
2006/4/25,14103
2006/4/26,14098
2006/4/27,14096
2006/4/28,14093
2006/4/29,14092
2006/4/30,14090
2006/5/8,14081
2006/5/9,14080
2006/5/10,14077
2006/5/11,14075
2006/5/12,14073
2006/5/15,14072
2006/5/16,14072
2006/5/17,14072
2006/5/18,14071
2006/5/19,14071
2006/5/22,14069
2006/5/23,14067
2006/5/24,14059
2006/5/25,14057
2006/5/26,14057
2006/5/29,14057
2006/5/30,14055
2006/5/31,14050
2006/6/1,14045
2006/6/2,14038
2006/6/5,14039
2006/6/6,14040
2006/6/7,14042
2006/6/8,14063
2006/6/9,14065
2006/6/12,14066
2006/6/13,14066
2006/6/14,14066
2006/6/15,14067
2006/6/16,14067
2006/6/19,14066
2006/6/20,14060
2006/6/21,14055
2006/6/22,14055
2006/6/23,14055
2006/6/26,14055
2006/6/27,14052
2006/6/28,14047
2006/6/29,14029
2006/6/30,14001
2006/7/3,13995
2006/7/4,13992
2006/7/5,13989
2006/7/6,13982
2006/7/7,13977
2006/7/10,13976
2006/7/11,13975
2006/7/12,13975
2006/7/13,13972
2006/7/14,13963
2006/7/17,13955
2006/7/18,13940
2006/7/19,13931
2006/7/20,13926
2006/7/21,13926
2006/7/24,13920
2006/7/25,13918
2006/7/26,13918
2006/7/27,13916
2006/7/28,13915
2006/7/31,13915
2006/8/1,13915
2006/8/2,13918
2006/8/3,13918
2006/8/4,13919
2006/8/7,13922
2006/8/8,13949
2006/8/9,13967
2006/8/10,13979
2006/8/11,14036
2006/8/14,14055
2006/8/15,14056
2006/8/16,14053
2006/8/17,14053
2006/8/18,14053
2006/8/21,14056
2006/8/22,14056
2006/8/23,14057
2006/8/24,14059
2006/8/25,14065
2006/8/28,14066
2006/8/29,14067
2006/8/30,14068
2006/8/31,14068
2006/9/1,14070
2006/9/4,14076
2006/9/5,14080
2006/9/6,14084
2006/9/7,14085
2006/9/8,14086
2006/9/11,14087
2006/9/12,14088
2006/9/13,14089
2006/9/14,14082
2006/9/15,14078
2006/9/18,14012
2006/9/19,13999
2006/9/20,13969
2006/9/21,13953
2006/9/22,13951
2006/9/25,13942
2006/9/26,13889
2006/9/27,13814
2006/9/28,13702
2006/9/29,13662
2006/9/30,13624
2006/10/5,13353
2006/10/6,13296
2006/10/7,13286
2006/10/8,13202
2006/10/9,13147
2006/10/10,13093
2006/10/11,13069
2006/10/12,13047
2006/10/13,13043
2006/10/16,12989
2006/10/17,12920
2006/10/18,12869
2006/10/19,12843
2006/10/20,12811
2006/10/23,12743
2006/10/24,12706
2006/10/25,12691
2006/10/26,12670
2006/10/27,12645
2006/10/30,12640
2006/10/31,12625
2006/11/1,12622
2006/11/2,12616
2006/11/3,12613
2006/11/6,12609
2006/11/7,12606
2006/11/8,12607
2006/11/9,12611
2006/11/10,12613
2006/11/13,12620
2006/11/14,12640
2006/11/15,12642
2006/11/16,12650
2006/11/17,12659
2006/11/20,12668
2006/11/21,12675
2006/11/22,12678
2006/11/23,12679
2006/11/24,12682
2006/11/27,12693
2006/11/28,12702
2006/11/29,12714
2006/11/30,12730
2006/12/1,12736
2006/12/4,12742
2006/12/5,12744
2006/12/6,12747
2006/12/7,12751
2006/12/8,12753
2006/12/11,12762
2006/12/12,12764
2006/12/13,12768
2006/12/14,12775
2006/12/15,12788
2006/12/18,12803
2006/12/19,12808
2006/12/20,12823
2006/12/21,12825
2006/12/22,12830
2006/12/25,12831
2006/12/26,12832
2006/12/27,12835
2006/12/28,12849
2006/12/29,12853
2006/12/30,12854
2006/12/31,12857
2007/1/4,12859
2007/1/5,12865
2007/1/8,12870
2007/1/9,12877
2007/1/10,12883
2007/1/11,12892
2007/1/12,12899
2007/1/15,12900
2007/1/16,12901
2007/1/17,12905
2007/1/18,12914
2007/1/19,12924
2007/1/22,12942
2007/1/23,12957
2007/1/24,12963
2007/1/25,12966
2007/1/26,12974
2007/1/29,12981
2007/1/30,12987
2007/1/31,12993
2007/2/1,12995
2007/2/2,12998
2007/2/5,13000
2007/2/6,13003
2007/2/7,13007
2007/2/8,13007
2007/2/9,13009
2007/2/12,13015
2007/2/13,13018
2007/2/14,13023
2007/2/15,13024
2007/2/16,13026
2007/2/17,13026
2007/2/25,13027
2007/2/26,13030
2007/2/27,13032
2007/2/28,13032
2007/3/1,13033
2007/3/2,13035
2007/3/5,13039
2007/3/6,13040
2007/3/7,13043
2007/3/8,13046
2007/3/9,13047
2007/3/12,13049
2007/3/13,13050
2007/3/14,13051
2007/3/15,13051
2007/3/16,13052
2007/3/19,13052
2007/3/20,13054
2007/3/21,13056
2007/3/22,13059
2007/3/23,13063
2007/3/26,13063
2007/3/27,13068
2007/3/28,13070
2007/3/29,13070
